Memory,Storage,Camera,Rating,Selling Price,Original Price,Discount,discount percentage
12 GB,256 GB,Yes,4.2,32999,34999,2000,5.714448984256693
2 GB,16 GB,Yes,4.1,9990,9990,0,0.0
6 GB,64 GB,Yes,4.3,35999,35999,0,0.0
2 GB,16 GB,Yes,4.0,6999,13499,6500,48.15171494184754
6 GB,128 GB,Yes,4.3,21999,31999,10000,31.25097659301853
512 MB,4 GB,Yes,4.0,7454,7454,0,0.0
8 GB,128 GB,Yes,4.3,39990,39990,0,0.0
4 GB,128 GB,Yes,4.5,11999,12999,1000,7.692899453804139
3 GB,32 GB,Yes,4.2,7399,7399,0,0.0
6 GB,128 GB,Yes,4.2,15990,15990,0,0.0
4 GB,32 GB,Yes,4.4,41900,41900,0,0.0
6 GB,64 GB,Yes,4.3,17999,17999,0,0.0
6 GB,128 GB,Yes,4.3,19178,19900,722,3.628140703517588
3 GB,32 GB,Yes,4.3,8299,9999,1700,17.001700170017
,2 MB,Yes,4.2,1445,1445,0,0.0
4 GB,64 GB,Yes,4.4,12999,12999,0,0.0
4 GB,64 GB,Yes,2.3,11999,11999,0,0.0
8 MB,16 MB,Yes,,4189,4189,0,0.0
6 GB,128 GB,Yes,4.3,38999,38999,0,0.0
8 GB,128 GB,Yes,,49990,56990,7000,12.282856641516055
6 GB,128 GB,Yes,,129900,129900,0,0.0
3 GB,64 GB,Yes,4.0,55900,55900,0,0.0
8 GB,128 GB,Yes,4.4,26999,29999,3000,10.000333344444815
,128 GB,Yes,,29990,32990,3000,9.093664746892998
8 GB,128 GB,Yes,4.2,23596,23696,100,0.4220121539500338
4 GB,32 GB,Yes,4.4,15990,15990,0,0.0
3 GB,32 GB,Yes,4.2,8299,8299,0,0.0
4 GB,64 GB,Yes,4.3,10499,10999,500,4.545867806164196
2 GB,16 GB,Yes,4.0,6980,6980,0,0.0
8 GB,256 GB,Yes,4.6,60990,60990,0,0.0
512 MB,512 MB,Yes,4.2,1700,1700,0,0.0
4GB,512 GB,Yes,4.6,140300,140300,0,0.0
8 GB,128 GB,Yes,4.3,27999,29999,2000,6.666888896296544
4 GB,64 GB,Yes,4.3,9999,12999,3000,23.078698361412417
2 GB,32 GB,Yes,3.9,5999,5999,0,0.0
6 GB,64 GB,Yes,4.4,20990,20990,0,0.0
3 GB,32 GB,Yes,4.3,8690,9290,600,6.458557588805166
4 GB,64 GB,Yes,4.3,11999,14999,3000,20.00133342222815
2 GB,16 GB,Yes,4.0,4650,4650,0,0.0
2 GB,16 GB,Yes,4.0,6999,14190,7191,50.676532769556026
1 GB,8 GB,Yes,3.6,4790,4790,0,0.0
4 GB,128 GB,Yes,4.4,66000,66000,0,0.0
6 GB,128 GB,Yes,4.4,17499,19999,2500,12.500625031251564
4 GB,64 GB,Yes,4.0,7899,7899,0,0.0
4 GB,64 GB,Yes,4.3,18000,18000,0,0.0
3 GB,32 GB,Yes,4.2,9639,9639,0,0.0
1 GB,8 GB,Yes,3.8,9999,9999,0,0.0
4 GB,32 GB,Yes,4.4,19990,19990,0,0.0
8 GB,256 GB,Yes,4.5,29489,32990,3501,10.612306759624127
1 GB,8 GB,Yes,4.2,9999,9999,0,0.0
3 GB,32 GB,Yes,4.2,9990,9990,0,0.0
8 GB,128 GB,Yes,4.3,59990,59990,0,0.0
2 GB,32 GB,Yes,3.6,12999,12999,0,0.0
4 GB,256 GB,Yes,4.4,65900,65900,0,0.0
4 GB,128 GB,Yes,4.3,16999,16999,0,0.0
2 GB,32 GB,Yes,4.5,9490,9490,0,0.0
1 GB,8 GB,Yes,4.0,7999,7999,0,0.0
3 GB,32 GB,Yes,4.2,11999,11999,0,0.0
3 GB,32 GB,Yes,4.1,7946,7999,53,0.6625828228528566
2 GB,32 GB,Yes,4.3,7990,7990,0,0.0
3 GB,32 GB,Yes,4.1,22900,22900,0,0.0
4 GB,64 GB,Yes,4.0,24000,24000,0,0.0
3 GB,32 GB,Yes,4.4,8285,8285,0,0.0
8 GB,128 GB,Yes,4.4,35990,38990,3000,7.694280584765324
8 GB,128 GB,Yes,4.3,34999,41999,7000,16.66706350151194
8 GB,256 GB,Yes,4.5,30999,30999,0,0.0
2 GB,16 GB,Yes,3.7,18249,18249,0,0.0
6 GB,64 GB,Yes,4.3,17999,17999,0,0.0
3 GB,32 GB,Yes,4.0,11999,11999,0,0.0
6 GB,128 GB,Yes,4.2,17999,21999,4000,18.182644665666626
8 GB,128 GB,Yes,4.3,84999,95999,11000,11.458452692215545
4 GB,32 GB,Yes,4.2,47990,47990,0,0.0
6 GB,128 GB,Yes,3.9,14999,14999,0,0.0
6 GB,128 GB,Yes,4.4,24999,27999,3000,10.714668381013608
6 GB,128 GB,Yes,4.3,14499,20999,6500,30.9538549454736
8 GB,128 GB,Yes,4.3,20949,20949,0,0.0
4GB,128 GB,Yes,4.6,54900,54900,0,0.0
3 GB,64 GB,Yes,4.2,8561,8561,0,0.0
4 GB,64 GB,Yes,4.3,9999,9999,0,0.0
6 GB,64 GB,Yes,4.2,10999,10999,0,0.0
3 GB,32 GB,Yes,4.2,10999,10999,0,0.0
4 GB,64 GB,Yes,4.3,14499,16999,2500,14.70674745573269
6 GB,128 GB,Yes,4.8,17499,20999,3500,16.667460355255013
1 GB,8 GB,Yes,3.8,5699,5699,0,0.0
4 GB,64 GB,Yes,4.4,9499,12999,3500,26.925148088314486
6 GB,128 GB,Yes,4.6,48669,48669,0,0.0
2 GB,16 GB,Yes,4.1,7499,7499,0,0.0
6 GB,64 GB,Yes,4.5,17990,17990,0,0.0
4 GB,64 GB,Yes,4.3,17000,17000,0,0.0
4GB,256 GB,Yes,4.6,64900,64900,0,0.0
3 GB,64 GB,Yes,4.4,8205,8205,0,0.0
6 GB,128 GB,Yes,4.4,24999,26999,2000,7.407681765991334
1 GB,16 GB,Yes,3.7,5199,5199,0,0.0
2 GB,32 GB,Yes,4.4,7199,7999,800,10.001250156269531
1 GB,8 GB,Yes,4.0,7550,7550,0,0.0
4 GB,64 GB,Yes,4.4,12449,15990,3541,22.145090681676045
6 GB,128 GB,Yes,4.2,23999,29999,6000,20.00066668888963
1 GB,8 GB,Yes,4.0,6999,6999,0,0.0
1 GB,8 GB,Yes,3.9,4990,4990,0,0.0
4 GB,64 GB,Yes,4.5,14999,18999,4000,21.05373967050897
4 GB,64 GB,Yes,4.4,15990,15990,0,0.0
512 MB,4 GB,Yes,4.0,6499,6499,0,0.0
2 GB,16 GB,Yes,4.1,19990,19990,0,0.0
6 GB,64 GB,Yes,4.3,18979,18999,20,0.1052686983525448
4GB,512 GB,Yes,,109900,109900,0,0.0
4 GB,128 GB,Yes,4.3,14999,14999,0,0.0
3 GB,32 GB,Yes,4.1,7290,7290,0,0.0
4 GB,64 GB,Yes,4.4,17500,17500,0,0.0
3 GB,256 GB,Yes,4.5,85400,85400,0,0.0
6 GB,128 GB,Yes,4.6,73600,73600,0,0.0
2 GB,16 GB,Yes,3.9,6999,6999,0,0.0
3 GB,16 GB,Yes,4.0,7999,7999,0,0.0
6 GB,128 GB,Yes,4.3,20696,21995,1299,5.905887701750398
4 GB,32 GB,Yes,4.4,19490,22990,3500,15.224010439321445
4 GB,64 GB,Yes,4.4,9828,10760,932,8.661710037174721
4 GB,128 GB,Yes,4.5,11999,12999,1000,7.692899453804139
4 GB,32 GB,Yes,4.4,41900,41900,0,0.0
12 GB,256 GB,Yes,4.4,29999,32999,3000,9.09118458135095
16 MB,8 MB,Yes,,4199,4199,0,0.0
1 GB,16 GB,Yes,4.4,52000,52000,0,0.0
3 GB,32 GB,Yes,4.2,13023,13023,0,0.0
1 GB,8 GB,Yes,3.7,4150,4150,0,0.0
3 GB,32 GB,Yes,4.2,9599,9599,0,0.0
3 GB,32 GB,Yes,4.0,6999,6999,0,0.0
4 GB,32 GB,Yes,4.4,36900,36900,0,0.0
3 GB,32 GB,Yes,3.9,14999,14999,0,0.0
3 GB,32 GB,Yes,3.7,18999,18999,0,0.0
4 GB,64 GB,Yes,4.3,13990,13990,0,0.0
8 GB,128 GB,Yes,4.4,19999,19999,0,0.0
3 GB,32 GB,Yes,4.1,7999,7999,0,0.0
3 GB,64 GB,Yes,4.6,42999,47900,4901,10.231732776617951
3 GB,32 GB,Yes,4.2,13999,13999,0,0.0
